text,keywords_indices,keywords_count
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 8]",3
"['are', 'you', 'interested', 'in', 'seeing', 'barack', 'obamas', 'family']","[4, 5, 7]",3
"['no', 'i', 'want', 'to', 'know', 'where', 'obamas', 'parents', 'and', 'grandparents', 'came', 'from']","[6, 7, 10]",3
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3]",2
"['would', 'you', 'like', 'to', 'know', 'barack', 'obamas', 'geneology']","[5, 7]",2
"['yes', 'i', 'want', 'to', 'know', 'where', 'obamas', 'parents', 'and', 'grandparents', 'came', 'from']","[6, 10]",2
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3]",2
"['would', 'you', 'like', 'to', 'know', 'about', 'obamas', 'ancestors']","[2, 6, 7]",3
"['yes', 'particualarly', 'information', 'about', 'his', 'parents', 'and', 'grandparents']",[1],1
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['would', 'you', 'like', 'to', 'know', 'who', 'is', 'currently', 'alive', 'from', 'president', 'obamas', 'family', 'tree']","[7, 11, 13]",3
"['no', 'i', 'want', 'to', 'know', 'where', 'his', 'parents', 'and', 'grandparents', 'are', 'from']",[9],1
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 5]",2
"['are', 'you', 'looking', 'for', 'biological', 'information', 'on', 'his', 'family']",[4],1
"['yes', 'specifically', 'information', 'about', 'his', 'parents', 'and', 'grandparents']","[0, 1, 5]",3
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 8]",3
"['are', 'you', 'referring', 'to', 'the', 'time', 'magazine', 'essay']","[2, 5, 6]",3
"['no', 'i', 'need', 'information', 'about', 'where', 'obamas', 'parents', 'and', 'grandparents', 'are', 'from']","[2, 6]",2
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['no', 'i', 'would', 'like', 'to', 'know', 'more', 'about', 'obamas', 'grand', 'parrents']",[8],1
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 5]",3
"['how', 'many', 'generations', 'would', 'you', 'like', 'me', 'to', 'list', 'from', 'president', 'obamas', 'family', 'tree']","[11, 13]",2
"['two', 'generations', 'obamas', 'parents', 'and', 'grandparents']","[0, 2]",2
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 5]",2
"['what', 'would', 'you', 'like', 'to', 'know', 'about', 'obamas', 'heritage']",[8],1
"['where', 'did', 'barack', 'obama', 's', 'parents', 'and', 'grandparents', 'come', 'from']","[2, 3, 8]",3
